Paragraphs:	37
Sentences:	63
Words:	623
SentencesXpar:	[3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 4, 2, 1, 1, 4, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 3, 2, 3, 3]
WordsXpar:	[36, 38, 22, 11, 13, 17, 4, 3, 20, 10, 27, 13, 23, 20, 29, 48, 29, 4, 2, 35, 12, 6, 13, 10, 19, 27, 5, 12, 13, 4, 4, 10, 20, 23, 10, 13, 18]
Avg_WordsXpar:	16.8378378378
Median_WordsXpar:	13
Min_WordsXpar:	2
Max_WordsXpar:	48
Mode_WordsXpar:	13
Range_WordsXpar:	46
WordsXsentence:	[18, 8, 10, 17, 21, 22, 6, 5, 13, 17, 4, 3, 20, 10, 12, 15, 13, 13, 10, 12, 8, 12, 17, 6, 11, 10, 21, 14, 15, 4, 2, 14, 9, 10, 3, 10, 3, 6, 13, 10, 19, 16, 11, 2, 3, 12, 13, 4, 4, 3, 7, 20, 10, 3, 10, 5, 5, 1, 5, 7, 6, 5, 7]
Avg_WordsXsentence:	9.92063492063
Median_WordsXsentence:	10
Min_WordsXsentence:	1
Max_WordsXsentence:	22
Mode_WordsXsentence:	13
Range_WordsXsentence:	21
